#x,T,xh2o,xco2,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[],[kW/m3],[kW/m2]
    0.695000000000000E+000,    0.476008545314383E+003,    0.880042726571913E-001,    0.586695151047942E-001,    0.000000000000000E+000,    0.224081201219529E+001,    0.960771425639922E+000,    0.000000000000000E+000,   -0.310491294844770E+002,   -0.254023656701756E+002
    0.705000000000000E+000,    0.478110671506417E+003,    0.890553357532086E-001,    0.593702238354724E-001,    0.000000000000000E+000,    0.226597029429347E+001,    0.966026634506936E+000,    0.000000000000000E+000,   -0.310712312666774E+002,   -0.254113512515003E+002
    0.715000000000000E+000,    0.480237130363786E+003,    0.901185651818932E-001,    0.600790434545955E-001,    0.000000000000000E+000,    0.229150014320996E+001,    0.971781398128040E+000,    0.000000000000000E+000,   -0.310935767364633E+002,   -0.254203786649502E+002
    0.725000000000000E+000,    0.482387688696314E+003,    0.911938443481569E-001,    0.607958962321046E-001,    0.000000000000000E+000,    0.231734887727364E+001,    0.978083458390231E+000,    0.000000000000000E+000,   -0.311161706054414E+002,   -0.254294539569818E+002
    0.735000000000000E+000,    0.484562110671043E+003,    0.922810553355217E-001,    0.615207035570145E-001,    0.000000000000000E+000,    0.234220973338998E+001,    0.985028599336141E+000,    0.000000000000000E+000,   -0.311390180766365E+002,   -0.254385825695738E+002
    0.745000000000000E+000,    0.486760157838102E+003,    0.933800789190511E-001,    0.622533859460341E-001,    0.000000000000000E+000,    0.236904283079171E+001,    0.992745144227818E+000,    0.000000000000000E+000,   -0.311621015945005E+002,   -0.254477706259578E+002
    0.755000000000000E+000,    0.488981589156849E+003,    0.944907945784244E-001,    0.629938630522830E-001,    0.000000000000000E+000,    0.239454146231967E+001,    0.100131622281232E+001,    0.000000000000000E+000,   -0.311854494502898E+002,   -0.254570269818152E+002
    0.765000000000000E+000,    0.491226161022306E+003,    0.956130805111529E-001,    0.637420536741019E-001,    0.000000000000000E+000,    0.242408845744487E+001,    0.101089987163190E+001,    0.000000000000000E+000,   -0.312090416231360E+002,   -0.254663598576883E+002
    0.775000000000000E+000,    0.493493627291874E+003,    0.967468136459369E-001,    0.644978757639579E-001,    0.000000000000000E+000,    0.245179331307275E+001,    0.102171352788294E+001,    0.000000000000000E+000,   -0.312329198343343E+002,   -0.254757787565684E+002
    0.785000000000000E+000,    0.495783739312325E+003,    0.978918696561623E-001,    0.652612464374416E-001,    0.000000000000000E+000,    0.248115848773742E+001,    0.103398219084011E+001,    0.000000000000000E+000,   -0.312570631338931E+002,   -0.254852966038035E+002
    0.795000000000000E+000,    0.498096245947068E+003,    0.990481229735340E-001,    0.660320819823560E-001,    0.000000000000000E+000,    0.251165189862837E+001,    0.104803609593657E+001,    0.000000000000000E+000,   -0.312814954450803E+002,   -0.254949279447734E+002
    0.805000000000000E+000,    0.500430893603692E+003,    0.100215446801846E+000,    0.668102978678973E-001,    0.000000000000000E+000,    0.254922138839152E+001,    0.106048909879396E+001,    0.000000000000000E+000,   -0.313061920301968E+002,   -0.255046785023207E+002
